YEAR,DISTRICT,MONTH,AVERAGE LAFD TURNOUT TIME IN DISTRICT - Non-EMS,AVERAGE LAFD TURNOUT TIME IN DISTRICT - EMS,AVERAGE LAFD TRAVEL TIME  IN DISTRICT - Non-EMS,AVERAGE LAFD TRAVEL TIME IN DISTRICT - EMS,INCIDENT COUNT IN DISTRICT - Non-EMS,INCIDENT COUNT IN DISTRICT - EMS
2013,1,Jan,0:01:22,0:01:10,0:04:39,0:04:17,45,183
2013,1,Feb,0:01:19,0:01:12,0:03:47,0:04:16,38,165
2013,1,Mar,0:01:20,0:01:13,0:04:05,0:04:17,44,174
2013,1,Apr,0:01:18,0:01:10,0:04:59,0:04:03,45,173
2013,1,May,0:01:16,0:01:16,0:04:30,0:04:16,53,234
2013,1,Jun,0:01:16,0:01:12,0:04:27,0:04:01,44,187
2013,1,Jul,0:01:20,0:01:18,0:04:23,0:04:14,40,190
2013,1,Aug,0:01:18,0:01:18,0:04:45,0:04:01,48,195
2013,1,Sep,0:01:15,0:01:17,0:05:00,0:04:37,48,192
2013,1,Oct,0:01:15,0:01:17,0:04:32,0:04:17,52,175
2013,1,Nov,0:01:22,0:01:18,0:04:35,0:04:43,50,184
2013,1,Dec,0:01:15,0:01:18,0:04:27,0:04:23,47,194
2013,1,Overall,0:01:18,0:01:15,0:04:32,0:04:17,554,2246
2013,2,Jan,0:01:14,0:01:20,0:03:44,0:03:24,72,346
2013,2,Feb,0:01:11,0:01:22,0:03:05,0:03:39,65,313
2013,2,Mar,0:01:15,0:01:19,0:03:38,0:03:46,44,303
2013,2,Apr,0:01:16,0:01:21,0:03:28,0:03:31,54,315
2013,2,May,0:01:11,0:01:21,0:04:17,0:03:40,48,319
2013,2,Jun,0:01:15,0:01:20,0:04:16,0:03:48,49,271
2013,2,Jul,0:01:08,0:01:19,0:04:04,0:03:28,54,282
2013,2,Aug,0:01:13,0:01:20,0:03:27,0:03:38,57,284
2013,2,Sep,0:01:10,0:01:22,0:03:30,0:03:35,71,296
2013,2,Oct,0:01:23,0:01:23,0:03:54,0:03:29,50,284
2013,2,Nov,0:01:14,0:01:26,0:03:37,0:03:31,43,304
2013,2,Dec,0:01:13,0:01:22,0:03:34,0:03:36,55,289
2013,2,Overall,0:01:13,0:01:21,0:03:42,0:03:35,662,3606
2013,3,Jan,0:01:05,0:01:09,0:03:00,0:03:48,93,290
2013,3,Feb,0:00:59,0:01:12,0:03:01,0:03:45,83,294
2013,3,Mar,0:00:57,0:01:12,0:02:59,0:03:54,96,302
2013,3,Apr,0:00:55,0:01:09,0:03:07,0:03:37,98,319
2013,3,May,0:01:07,0:01:11,0:03:13,0:03:50,83,311
2013,3,Jun,0:00:56,0:01:11,0:02:51,0:03:56,78,322
2013,3,Jul,0:01:01,0:01:15,0:03:34,0:03:57,90,297
2013,3,Aug,0:01:01,0:01:16,0:03:29,0:03:47,91,326
2013,3,Sep,0:01:00,0:01:10,0:03:34,0:03:43,86,268
2013,3,Oct,0:01:09,0:01:16,0:03:06,0:04:00,106,326
2013,3,Nov,0:01:06,0:01:15,0:03:16,0:03:47,86,289
2013,3,Dec,0:01:05,0:01:19,0:03:29,0:03:54,109,313
2013,3,Overall,0:01:02,0:01:13,0:03:14,0:03:50,1099,3657
2013,4,Jan,0:01:16,0:01:19,0:04:04,0:03:46,61,395
2013,4,Feb,0:01:08,0:01:23,0:03:00,0:03:51,39,373
2013,4,Mar,0:01:15,0:01:20,0:03:41,0:03:45,50,428
2013,4,Apr,0:01:12,0:01:20,0:03:42,0:03:45,65,389
2013,4,May,0:01:13,0:01:19,0:04:29,0:03:46,67,382
2013,4,Jun,0:01:25,0:01:23,0:04:16,0:03:54,73,352
2013,4,Jul,0:01:23,0:01:25,0:04:26,0:03:51,67,369
2013,4,Aug,0:01:23,0:01:28,0:03:26,0:03:47,46,379
2013,4,Sep,0:01:15,0:01:24,0:03:56,0:03:58,38,397
2013,4,Oct,0:01:14,0:01:23,0:04:13,0:03:47,48,378
